id,cluster,image_path,image_href
490,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0029.png,../../../data/glomeruli/crops/RECHERCHE-011_0029.png
491,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0030.png,../../../data/glomeruli/crops/RECHERCHE-011_0030.png
492,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0031.png,../../../data/glomeruli/crops/RECHERCHE-011_0031.png
493,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0032.png,../../../data/glomeruli/crops/RECHERCHE-011_0032.png
494,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0033.png,../../../data/glomeruli/crops/RECHERCHE-011_0033.png
495,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0034.png,../../../data/glomeruli/crops/RECHERCHE-011_0034.png
497,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0036.png,../../../data/glomeruli/crops/RECHERCHE-011_0036.png
498,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0037.png,../../../data/glomeruli/crops/RECHERCHE-011_0037.png
499,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0038.png,../../../data/glomeruli/crops/RECHERCHE-011_0038.png
501,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0040.png,../../../data/glomeruli/crops/RECHERCHE-011_0040.png
502,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0041.png,../../../data/glomeruli/crops/RECHERCHE-011_0041.png
503,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0042.png,../../../data/glomeruli/crops/RECHERCHE-011_0042.png
506,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0045.png,../../../data/glomeruli/crops/RECHERCHE-011_0045.png
511,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0050.png,../../../data/glomeruli/crops/RECHERCHE-011_0050.png
513,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0052.png,../../../data/glomeruli/crops/RECHERCHE-011_0052.png
520,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0059.png,../../../data/glomeruli/crops/RECHERCHE-011_0059.png
521,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0060.png,../../../data/glomeruli/crops/RECHERCHE-011_0060.png
523,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0062.png,../../../data/glomeruli/crops/RECHERCHE-011_0062.png
524,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0063.png,../../../data/glomeruli/crops/RECHERCHE-011_0063.png
527,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0066.png,../../../data/glomeruli/crops/RECHERCHE-011_0066.png
528,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0067.png,../../../data/glomeruli/crops/RECHERCHE-011_0067.png
529,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0068.png,../../../data/glomeruli/crops/RECHERCHE-011_0068.png
530,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0069.png,../../../data/glomeruli/crops/RECHERCHE-011_0069.png
531,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0070.png,../../../data/glomeruli/crops/RECHERCHE-011_0070.png
532,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0071.png,../../../data/glomeruli/crops/RECHERCHE-011_0071.png
533,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0072.png,../../../data/glomeruli/crops/RECHERCHE-011_0072.png
534,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0073.png,../../../data/glomeruli/crops/RECHERCHE-011_0073.png
535,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0074.png,../../../data/glomeruli/crops/RECHERCHE-011_0074.png
536,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0075.png,../../../data/glomeruli/crops/RECHERCHE-011_0075.png
537,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0076.png,../../../data/glomeruli/crops/RECHERCHE-011_0076.png
538,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0077.png,../../../data/glomeruli/crops/RECHERCHE-011_0077.png
539,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-011_0078.png,../../../data/glomeruli/crops/RECHERCHE-011_0078.png
541,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-015_0001.png,../../../data/glomeruli/crops/RECHERCHE-015_0001.png
542,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-015_0002.png,../../../data/glomeruli/crops/RECHERCHE-015_0002.png
547,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-015_0007.png,../../../data/glomeruli/crops/RECHERCHE-015_0007.png
548,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-015_0008.png,../../../data/glomeruli/crops/RECHERCHE-015_0008.png
551,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-015_0011.png,../../../data/glomeruli/crops/RECHERCHE-015_0011.png
553,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-015_0013.png,../../../data/glomeruli/crops/RECHERCHE-015_0013.png
555,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-015_0015.png,../../../data/glomeruli/crops/RECHERCHE-015_0015.png
556,1,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-015_0016.png,../../../data/glomeruli/crops/RECHERCHE-015_0016.png
