id,cluster,image_path,image_href
124,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-004_0063.png,../../../data/glomeruli/crops/RECHERCHE-004_0063.png
125,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-004_0064.png,../../../data/glomeruli/crops/RECHERCHE-004_0064.png
126,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-004_0065.png,../../../data/glomeruli/crops/RECHERCHE-004_0065.png
127,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-004_0066.png,../../../data/glomeruli/crops/RECHERCHE-004_0066.png
129,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-004_0068.png,../../../data/glomeruli/crops/RECHERCHE-004_0068.png
130,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-004_0069.png,../../../data/glomeruli/crops/RECHERCHE-004_0069.png
143,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0001.png,../../../data/glomeruli/crops/RECHERCHE-005_0001.png
144,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0002.png,../../../data/glomeruli/crops/RECHERCHE-005_0002.png
145,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0003.png,../../../data/glomeruli/crops/RECHERCHE-005_0003.png
147,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0005.png,../../../data/glomeruli/crops/RECHERCHE-005_0005.png
148,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0006.png,../../../data/glomeruli/crops/RECHERCHE-005_0006.png
150,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0008.png,../../../data/glomeruli/crops/RECHERCHE-005_0008.png
153,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0011.png,../../../data/glomeruli/crops/RECHERCHE-005_0011.png
154,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0012.png,../../../data/glomeruli/crops/RECHERCHE-005_0012.png
155,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0013.png,../../../data/glomeruli/crops/RECHERCHE-005_0013.png
156,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0014.png,../../../data/glomeruli/crops/RECHERCHE-005_0014.png
157,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0015.png,../../../data/glomeruli/crops/RECHERCHE-005_0015.png
158,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0016.png,../../../data/glomeruli/crops/RECHERCHE-005_0016.png
160,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0018.png,../../../data/glomeruli/crops/RECHERCHE-005_0018.png
161,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0019.png,../../../data/glomeruli/crops/RECHERCHE-005_0019.png
162,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0020.png,../../../data/glomeruli/crops/RECHERCHE-005_0020.png
164,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0022.png,../../../data/glomeruli/crops/RECHERCHE-005_0022.png
165,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0023.png,../../../data/glomeruli/crops/RECHERCHE-005_0023.png
166,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0024.png,../../../data/glomeruli/crops/RECHERCHE-005_0024.png
167,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0025.png,../../../data/glomeruli/crops/RECHERCHE-005_0025.png
168,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0026.png,../../../data/glomeruli/crops/RECHERCHE-005_0026.png
170,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0028.png,../../../data/glomeruli/crops/RECHERCHE-005_0028.png
172,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0030.png,../../../data/glomeruli/crops/RECHERCHE-005_0030.png
173,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0031.png,../../../data/glomeruli/crops/RECHERCHE-005_0031.png
