cluster,size,modularity,cosine_similarity
0,173,0.12391403748637592,0.1412065476179123
1,34,0.013865436622323632,0.21209868788719177
2,117,0.10402431503452371,0.24252186715602875
3,59,0.047335339249709334,0.28960198163986206
4,49,0.03895855275568627,0.3176961839199066
5,216,0.1955102383748561,0.25649455189704895
6,29,0.018580980068175823,0.35670211911201477
