cluster,median_severity,n
4,-1.7691931208385836,49
0,-1.013593414800939,173
3,-0.5895252655108085,59
5,-0.04527304280541965,216
2,0.3655854092253849,117
1,1.1990493603054442,34
6,2.071895638823789,29
