cluster,n,dominant_slide,dominant_slide_frac,slide_entropy,n_slides
0,173,RECHERCHE-010,0.295,0.738,7
1,34,RECHERCHE-004,0.324,0.725,6
2,117,RECHERCHE-010,0.265,0.908,9
3,59,RECHERCHE-016,0.525,0.451,3
4,49,RECHERCHE-016,0.51,0.507,4
5,216,RECHERCHE-005,0.287,0.785,6
6,29,RECHERCHE-010,0.276,0.721,5
