hdbscan_cluster,n,n_leiden_subclusters,median_sev_low,median_sev_high,severity_gap,mannwhitney_p
0,244,2,-0.044,2.072,2.116,6.369856965347748e-14
1,339,3,-1.769,0.366,2.135,1.1285771249536196e-23
