dropped_descriptor,spearman_vs_full_axis
eosin_hema_ratio,0.7623687712942454
eosin_intensity,0.795155286286624
eosin_std,0.8959485311287652
texture_homogeneity,0.928016178618232
texture_energy,0.9389970460222936
hematoxylin_intensity,0.9770646924288958
texture_contrast,0.9838048680803879
area_fraction,0.999038338749333
