backbone,normalization,pca_n_components,config,grad_distance_morph_corr,grad_neighborhood_consistency,grad_gradient_smoothness_moran
densenet201,standard,5,standard+pca5,0.2620322825805566,0.15143596565906403,0.4002108758291676
densenet201,standard,10,standard+pca10,0.2928962347884711,0.16731283243656603,0.4167614537616477
densenet201,standard,20,standard+pca20,0.3099647315721656,0.17816949795195047,0.3869638983224073
densenet201,l2,5,l2+pca5,0.24442102192413057,0.05042762427826297,0.3656476530189938
densenet201,l2,10,l2+pca10,0.26890248423866986,0.10469621973210697,0.40589354410558154
densenet201,l2,20,l2+pca20,0.2707654288717805,0.1056981047203649,0.39502104367990654
densenet201,none,5,none+pca5,0.23444478218581577,0.05366763910109462,0.3699478314700631
densenet201,none,10,none+pca10,0.2614598114633363,0.09466383554525915,0.39243785246336294
densenet201,none,20,none+pca20,0.26408570608090753,0.09077639537952154,0.3829155199609292
densenet,standard,5,standard+pca5,0.2849748716295814,0.12919881833996305,0.4211673470465468
densenet,standard,10,standard+pca10,0.31541757911705914,0.12643819277607882,0.4319555567796834
densenet,standard,20,standard+pca20,0.32742559255666603,0.16785049538735453,0.4159181620432209
densenet,l2,5,l2+pca5,0.28930891511685874,0.0656181927221613,0.4066150253169993
densenet,l2,10,l2+pca10,0.3093868801789746,0.06934595137033683,0.39433010699997073
densenet,l2,20,l2+pca20,0.33197786462119616,0.11033027478284729,0.38291284915946255
densenet,none,5,none+pca5,0.28260578945843284,0.05896284981481059,0.40690163512049826
densenet,none,10,none+pca10,0.28399562880610724,0.05315987476878037,0.4008139175992396
densenet,none,20,none+pca20,0.30230117553004554,0.08444348763731013,0.3776145082751231
dinov2_base_cls,standard,5,standard+pca5,0.14184418954409314,-0.15891860823373416,0.19392579660628786
dinov2_base_cls,standard,10,standard+pca10,0.19426679357970886,-0.027135621661176,0.28970484045104716
dinov2_base_cls,standard,20,standard+pca20,0.20438888775979144,0.02068668310252264,0.3014964824737338
dinov2_base_cls,l2,5,l2+pca5,0.14641496841760568,-0.15549280526866682,0.1924510579503353
dinov2_base_cls,l2,10,l2+pca10,0.19263731677497362,-0.033623034695841936,0.27743193095632124
