grad_distance_morph_corr,grad_neighborhood_consistency,grad_gradient_smoothness_moran,backbone
0.3093868801789746,0.06934595137033683,0.39433010699997073,densenet
0.2952137954488568,0.03875926953949993,0.3333242511847483,dinov2_base_patch
0.2751981101984822,0.1429805468676999,0.4058495817758353,mobilenet
0.2721820871995323,0.11385151360239842,0.3755673312792401,dinov3_base_patch
0.26890248423866986,0.10469621973210697,0.40589354410558154,densenet201
0.21495599659122708,0.07627000771853432,0.3603109002198039,dinov3_base_cls
0.19718321645054385,-0.015098244080467449,0.3149831918779128,xception
0.19263731677497362,-0.033623034695841936,0.27743193095632124,dinov2_base_cls
0.17616637060078308,-0.08398582835598978,0.2554453283441763,kimianet_224
0.13105641915848598,-0.08375442192373694,0.2898147674404647,nasnet
0.1257802797834614,0.08789247229947106,0.34004998974571593,kimianet_1000
