backbone,mean_agreement_with_others
mobilenet,0.5916544439025618
dinov3_base_cls,0.5858008813053402
densenet,0.5751179027499064
dinov3_base_patch,0.5746317480807945
densenet201,0.567354688193874
dinov2_base_patch,0.5330278943941718
dinov2_base_cls,0.4951773245048544
xception,0.4621622329768259
nasnet,0.42311460541430196
kimianet_1000,0.38659412392488024
kimianet_224,0.34198305068067125
