backbone,same_slide_frac_knn,expected_random,enrichment,n_slides
nasnet,0.25406203840472674,0.12762098712558886,1.99075437455056,9
kimianet_224,0.2688330871491876,0.12762098712558886,2.1064959079546623,9
kimianet_1000,0.28173313638601677,0.12762098712558886,2.2075768471275787,9
xception,0.2933530280649926,0.12762098712558886,2.298626853405472,9
dinov2_base_cls,0.31147218119153125,0.12762098712558886,2.440603134381171,9
dinov2_base_patch,0.31265386509108817,0.12762098712558886,2.4498624570534995,9
densenet,0.3134416543574594,0.12762098712558886,2.4560353388350515,9
dinov3_base_patch,0.31383554899064503,0.12762098712558886,2.4591217797258276,9
densenet201,0.3173806006893156,0.12762098712558886,2.4868997477428123,9
dinov3_base_cls,0.3288035450516987,0.12762098712558886,2.5764065335753177,9
mobilenet,0.3360905957656327,0.12762098712558886,2.633505690054675,9
